Reactions: R12759,R05625,R05603,R01297,R06851,R01630,R07668,R05273 | Compounds: C00082,C00146,C02734,C00156,C00530,C02814,C00230,C06672,C00755
Reactions: R00728,R10043,R00822,R05274,R05699 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R10246,R08875,R07668,R05273 | Compounds: C00082,C05198,C06453,C06672,C00755
Reactions: R09830,R03337,R12492,R01308,R01298,R07668,R05699 | Compounds: C00082,C01179,C03964,C00811,C00156,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01296,R05274,R05699 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01297,R05482,R02561,R05280,R07668,R05273 | Compounds: C00082,C00146,C02734,C00156,C00530,C02372,C00568,C00230,C06672,C00755
Reactions: R12759,R00815,R00818,R07710,R02589,R01628,R07668,R05699 | Compounds: C00082,C00146,C00090,C00805,C00628,C00587,C00230,C06672,C00755
Reactions: R12759,R11653,R00821,R01508,R01628,R10136,R05699 | Compounds: C00082,C00146,C00090,C00196,C00587,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01296,R05274,R05273 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01298,R07668,R05273 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R12759,R00815,R00822,R05274,R05273 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R00728,R09539,R07709,R02589,R01628,R07668,R05699 | Compounds: C00082,C00146,C00805,C00628,C00587,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01297,R06851,R01630,R05274,R05699 | Compounds: C00082,C00146,C02734,C00156,C00530,C02814,C00230,C06672,C00755
Reactions: R10246,R07663,R05281,R05271,R05272,R01636,R05274,R05273 | Compounds: C00082,C01468,C06677,C06678,C06679,C02236,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01298,R05274,R05699 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R12759,R00815,R00822,R05274,R05699 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R12759,R11653,R00822,R10136,R05273 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R10246,R07663,R05281,R05271,R05272,R01636,R10136,R05699 | Compounds: C00082,C01468,C06677,C06678,C06679,C02236,C00230,C06672,C00755
Reactions: R00031,R11916,R03302,R02698,R06790,R12504,R05666,R02675,R01303,R01298,R07668,R05699 | Compounds: C00082,C00355,C04043,C01161,C00642,C07086,C01455,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R12759,R00815,R00822,R07668,R05699 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R12759,R01238,R01298,R05274,R05699 | Compounds: C00082,C00146,C00156,C00230,C06672,C00755
Reactions: R12759,R10043,R00822,R05274,R05699 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01297,R06851,R01629,R07668,R05699 | Compounds: C00082,C00146,C02734,C00156,C00530,C02814,C00230,C06672,C00755
Reactions: R12759,R00815,R00822,R07668,R05273 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01297,R06851,R05249,R05250,R03247,R01637,R05274,R05699 | Compounds: C00082,C00146,C02734,C00156,C00530,C02814,C01751,C01108,C01424,C00230,C06672,C00755
Reactions: R12759,R11653,R00821,R01508,R01628,R05274,R05273 | Compounds: C00082,C00146,C00090,C00196,C00587,C00230,C06672,C00755
Reactions: R12759,R11653,R00822,R05274,R05699 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R12759,R01238,R01298,R10136,R05699 | Compounds: C00082,C00146,C00156,C00230,C06672,C00755
Reactions: R12759,R00815,R00822,R10136,R05273 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01295,R01427,R01508,R00980,R00984,R00596,R01122,R10645,R08862,R07668,R05273 | Compounds: C00082,C00146,C02734,C00156,C00180,C00587,C00196,C00108,C00021,C17324,C04432,C05198,C06453,C06672,C00755
Reactions: R02078,R11916,R04084,R05214,R07240,R12302 | Compounds: C00082,C00355,C04043,C02916,C00021,C10469,C00755
Reactions: R00737,R01308,R01296,R07668,R05699 | Compounds: C00082,C00811,C00156,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01296,R10136,R05699 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R00728,R09539,R07709,R02589,R01628,R10136,R05699 | Compounds: C00082,C00146,C00805,C00628,C00587,C00230,C06672,C00755
Reactions: R12759,R10043,R07700,R01860,R02561,R05482,R01299,R01298,R05274,R05273 | Compounds: C00082,C00146,C00090,C00292,C00568,C02372,C00530,C00156,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01298,R07668,R05699 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R12759,R11653,R00822,R07668,R05699 | Compounds: C00082,C00146,C00090,C00230,C06672,C00755
Reactions: R00728,R00815,R00821,R01508,R01628,R10136,R05273 | Compounds: C00082,C00146,C00090,C00196,C00587,C00230,C06672,C00755
