Generation,Best Fitness
0,-0.6184302325581374
1,-0.6184302325581374
2,-0.6184302325581409
3,-0.6184302325581409
4,-0.6184302325581409
5,-0.6184302325581409
6,-0.6184302325581409
7,-0.6184302325581409
8,-0.6184302325581409
9,-0.6184302325581409
10,-0.6184302325581409
11,-0.7999999999999999
12,-0.7999999999999999
13,-0.7999999999999999
14,-0.7999999999999999
15,-0.923076923076926
16,-0.923076923076926
17,-1.0000000000000002
18,-1.0000000000000002
19,-1.0000000000000002
20,-1.0000000000000002
