Generation,Best Fitness
0,-3.2468367706735646
1,-3.2468367706735646
2,-3.2468367706735646
3,-3.2468367706735646
4,-3.2468367706735646
5,-3.2468367706735646
6,-3.2468367706735646
7,-3.2468367706735646
8,-3.2468367706735646
9,-3.2468367706735646
10,-3.2468367706735646
11,-3.2468367706735646
12,-3.2468367706735646
13,-3.2468367706735646
14,-3.2468367706735646
15,-3.2468367706735646
16,-3.2468367706735646
17,-3.2468367706735646
18,-3.2468367706735646
19,-3.2468367706735646
20,-3.2468367706735646
