Generation,Best Fitness
0,-16.978739975844505
1,-13.82213172730578
2,-20.135812813000946
3,-20.135812813000946
4,-20.135812813000946
5,-20.135812813000946
6,-20.135812813000946
7,-29.257742706735566
8,-29.257742706735566
9,-29.257742706735566
10,-29.257742706735566
11,-29.257742706735566
12,-29.257742706735566
13,-29.257742706735566
14,-29.257742706735566
15,-29.257742706735566
16,-29.257742706735566
17,-29.257742706735566
18,-29.257742706735566
19,-29.257742706735566
20,-29.257742706735566
