Reactions: R09830,R09254,R12622 | Compounds: C00082,C01179,C00022,C00755
Reactions: R13031,R08846,R11206,R10701,R06582,R02416,R06847,R01627,R07668,R05273 | Compounds: C00082,C00355,C10447,C01197,C10434,C02947,C00493,C02637,C00230,C06672,C00755
Reactions: R09830,R02521,R02518,R02655,R02489,R06851,R05265,R03023,R05421,R05346,R05485,R02561,R05280,R05274,R05699 | Compounds: C00082,C01179,C00544,C05585,C00628,C00530,C02814,C02235,C00870,C06604,C06605,C02372,C00568,C00230,C06672,C00755
Reactions: R09830,R02521,R02514,R07312,R02675,R01293,R01296,R07668,R05273 | Compounds: C00082,C01179,C00544,C00642,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R09830,R02521,R02516,R07312,R02675,R01303,R01298,R10136,R05273 | Compounds: C00082,C01179,C00544,C00642,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R00728,R11653,R07700,R01860,R05280,R10136,R05699 | Compounds: C00082,C00146,C00090,C00292,C00568,C00230,C06672,C00755
Reactions: R09830,R03341,R02697,R06790,R12504,R05666,R03568,R05294,R05281,R05271,R05272,R01636,R05274,R05699 | Compounds: C00082,C01179,C03765,C00642,C07086,C01455,C01468,C06730,C06677,C06678,C06679,C02236,C00230,C06672,C00755
Reactions: R09830,R00042,R07312,R07663,R05281,R05271,R05272,R01636,R07668,R05699 | Compounds: C00082,C01179,C00642,C01468,C06677,C06678,C06679,C02236,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01298,R10136,R05273 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R09830,R02521,R02520,R02655,R07710,R08838,R01295,R01296,R05274,R05699 | Compounds: C00082,C01179,C00544,C05585,C00628,C00805,C00180,C00156,C00230,C06672,C00755
Reactions: R07212,R08846,R13082,R13072,R07991,R08031,R07989,R12566 | Compounds: C00082,C00355,C10447,C22567,C05631,C15525,C16405,C00406,C00755
Reactions: R12161,R10646,R01122,R00599,R07240,R12302 | Compounds: C00082,C05198,C04432,C17324,C00021,C10469,C00755
