===== Generation 1 =====
[7, 403.3705055634821]
R07212	C00082	C00355	
R08846	C00355	C10447	
R13082	C10447	C22567	
R13072	C22567	C05631	
R08012	C05631	C09756	
R07992	C09756	C16405	
R08031	C16405	C15525	
R07988	C15525	C00323	
R01942	C00323	C00406	
R12566	C00406	C00755	
[5, 402.93097044871973]
R09254	C00082	C01179	
R00042	C01179	C00642	
R06790	C00642	C07086	
R12504	C07086	C01455	
R03560	C01455	C01542	
R03608	C01542	C02923	
R03566	C02923	C01467	
R07665	C01467	C03351	
R04136	C03351	C03067	
R07666	C03067	C00587	
R01628	C00587	C00230	
R10136	C00230	C06672	
R05699	C06672	C00755	
[5, 402.8955055634821]
R09254	C00082	C01179	
R00042	C01179	C00642	
R06790	C00642	C07086	
R12504	C07086	C01455	
R03560	C01455	C01542	
R03608	C01542	C02923	
R03566	C02923	C01467	
R07665	C01467	C03351	
R04136	C03351	C03067	
R07666	C03067	C00587	
R01628	C00587	C00230	
R10136	C00230	C06672	
R05699	C06672	C00755	
[7, 402.825673189772]
R09254	C00082	C01179	
R00042	C01179	C00642	
R06790	C00642	C07086	
R12504	C07086	C01455	
R03560	C01455	C01542	
R03608	C01542	C02923	
R03566	C02923	C01467	
R07665	C01467	C03351	
R04136	C03351	C03067	
R07666	C03067	C00587	
R01628	C00587	C00230	
R10136	C00230	C06672	
R05699	C06672	C00755	
[7, 402.825673189772]
R12759	C00082	C00146	
R10043	C00146	C00090	
R00822	C00090	C00230	
R05274	C00230	C06672	
R05273	C06672	C00755	
[10, 408.18800177369917]
R09254	C00082	C01179	
R00042	C01179	C00642	
R06790	C00642	C07086	
R12504	C07086	C01455	
R03560	C01455	C01542	
R03608	C01542	C02923	
R03566	C02923	C01467	
R07665	C01467	C03351	
R04136	C03351	C03067	
R07666	C03067	C00587	
R01628	C00587	C00230	
R10136	C00230	C06672	
R05699	C06672	C00755	
[5, 402.5485303326291]
R09830	C00082	C01179	
R03337	C01179	C03964	
R12492	C03964	C00811	
R01308	C00811	C00156	
R01298	C00156	C00230	
R07668	C00230	C06672	
R05273	C06672	C00755	
[13, 414.355805970209]
R10246	C00082	C01468	
R12133	C01468	C17467	
R12134	C17467	C00633	
R01294	C00633	C00156	
R05616	C00156	C13425	
R06865	C13425	C05200	
R04711	C05200	C00021	
R10447	C00021	C00180	
R01427	C00180	C00587	
R01628	C00587	C00230	
R10136	C00230	C06672	
R05273	C06672	C00755	
[7, 405.01652004421135]
R09254	C00082	C01179	
R00042	C01179	C00642	
R06790	C00642	C07086	
R12504	C07086	C01455	
R03560	C01455	C01542	
R03608	C01542	C02923	
R03566	C02923	C01467	
R07665	C01467	C03351	
R04136	C03351	C03067	
R07666	C03067	C00587	
R01628	C00587	C00230	
R10136	C00230	C06672	
R05699	C06672	C00755	
[7, 403.7705055634821]
R09254	C00082	C01179	
R00042	C01179	C00642	
R06790	C00642	C07086	
R12504	C07086	C01455	
R03560	C01455	C01542	
R03608	C01542	C02923	
R03566	C02923	C01467	
R07665	C01467	C03351	
R04136	C03351	C03067	
R07666	C03067	C00587	
R01628	C00587	C00230	
R10136	C00230	C06672	
R05699	C06672	C00755	
[5, 402.7625303326291]
R09830	C00082	C01179	
R06632	C01179	C03198	
R02673	C03198	C00633	
R01293	C00633	C00156	
R01296	C00156	C00230	
R07668	C00230	C06672	
R05699	C06672	C00755	
[11, 416.64456160575645]
R09254	C00082	C01179	
R00042	C01179	C00642	
R06790	C00642	C07086	
R12504	C07086	C01455	
R03560	C01455	C01542	
R03608	C01542	C02923	
R03566	C02923	C01467	
R07665	C01467	C03351	
R04136	C03351	C03067	
R07666	C03067	C00587	
R01628	C00587	C00230	
R10136	C00230	C06672	
R05699	C06672	C00755	
[6, 402.95697044871974]
R09254	C00082	C01179	
R00042	C01179	C00642	
R06790	C00642	C07086	
R12504	C07086	C01455	
R03560	C01455	C01542	
R03608	C01542	C02923	
R03566	C02923	C01467	
R07665	C01467	C03351	
R04136	C03351	C03067	
R07666	C03067	C00587	
R01628	C00587	C00230	
R10136	C00230	C06672	
R05699	C06672	C00755	
[13, 8.816985892269836]
R10246	C00082	C01468	
R12133	C01468	C17467	
R12134	C17467	C00633	
R01294	C00633	C00156	
R05616	C00156	C13425	
R06865	C13425	C05200	
R04711	C05200	C00021	
